Missing %,Method,MAE,MAE_std,RMSE,RMSE_std,R2,R2_std,Bias,Bias_std
5%,Linear,0.465,0.0,0.667,0.0,0.9647,0.0,0.293,0.0
5%,Spline,0.404,0.0,0.573,0.0,0.974,0.0,0.246,0.0
5%,Diagonal Climatology,0.464,0.0,0.679,0.0,0.9634,0.0,0.321,0.0
5%,LOCF,0.51,0.0,0.739,0.0,0.9567,0.0,0.38,0.0
10%,Linear,0.455,0.0,0.668,0.0,0.9646,0.0,0.302,0.0
10%,Spline,0.443,0.0,0.62,0.0,0.9696,0.0,0.285,0.0
10%,Diagonal Climatology,0.462,0.0,0.673,0.0,0.9642,0.0,0.333,0.0
10%,LOCF,0.501,0.0,0.737,0.0,0.957,0.0,0.382,0.0
15%,Linear,0.462,0.0,0.674,0.0,0.964,0.0,0.315,0.0
15%,Spline,0.435,0.0,0.622,0.0,0.9694,0.0,0.268,0.0
15%,Diagonal Climatology,0.463,0.0,0.673,0.0,0.9641,0.0,0.343,0.0
15%,LOCF,0.586,0.0,0.85,0.0,0.9427,0.0,0.497,0.0
20%,Linear,0.443,0.0,0.646,0.0,0.9669,0.0,0.283,0.0
20%,Spline,0.404,0.0,0.567,0.0,0.9745,0.0,0.236,0.0
20%,Diagonal Climatology,0.467,0.0,0.661,0.0,0.9654,0.0,0.349,0.0
20%,LOCF,0.546,0.0,0.807,0.0,0.9484,0.0,0.461,0.0
